id,name,original_language,rating,rating_votes,release_freq,activity_all_time_rank,activity_month_rank,activity_week_rank,on_reading_lists,reading_list_all_time_rank,reading_list_month_rank
28238,Full-time Lottery System,chinese,2.5,11,46.5,8589,6542,4705,236,9783,8423
28241,"After My Death, The Villain Blackened Again",chinese,4,70,29.5,3216,4310,2000,1798,3483,3719
28244,Immemorial Dragon Elephant Art,chinese,2.2,5,46.7,10295,2000,2000,43,11893,11037
28245,Calamity of Tomorrow,chinese,4.1,11,46.7,8692,2000,6928,154,10714,10427
28247,I Am the God of Games,chinese,4.3,72,46.8,4550,4706,6928,769,6055,5710
28249,Bloodlines Ablaze,japanese,4,34,42.7,7066,3519,2000,836,5767,6098
28255,Glory,chinese,4.6,239,6.9,727,1848,640,5537,880,1256
28257,The Young General’s Wife Is Mr. Lucky,chinese,3.8,122,24.9,1934,2277,1152,3477,1715,3509
28261,"Reiko’s Manners – She’s Referred To As A Villainess, But Actually She’s Just Penniless",japanese,3.9,67,22.3,3411,5267,2000,2209,2869,4963
28264,The Kicked Out S-rank Appraiser Creates The Strongest Guild,japanese,3.7,57,17.3,2648,2878,2969,2562,2487,3062
28266,Cuck S*ave in Training,chinese,2.9,126,0.3,5220,1386,5067,1079,5000,5381
28267,The Princess Likes to Lie,japanese,3.4,19,63.5,9798,2000,2000,582,7006,9254
28271,The Transcender of Gensokyo,chinese,1.9,11,173.8,9912,2000,2000,102,11370,9408
28280,Handsome Friend,chinese,4.1,24,46.3,8658,2000,2000,465,7734,8741
28283,Riling Up The Jianghu,chinese,4.1,21,11.2,8857,2000,2000,614,6841,7356
28285,Devil’s Warmth,chinese,4.5,222,6.1,1547,565,457,3533,1683,2311
28290,Kaiko Sareta Ankoku Heishi (30-dai) no Slow na Second Life,japanese,3.1,23,348.5,7762,2000,2000,651,6673,5639
28294,Repudiating a Good Wife Is Out of the Question,chinese,3.2,67,1.4,5211,5141,1716,1059,5052,5888
28296,Before the Divorce,chinese,4,47,49.6,5398,3731,6928,1024,5157,5223
28303,Game of Divine Thrones,korean,3,92,1,1349,2000,6928,1896,3325,2096
28308,Moon’s Labyrinth,korean,3.9,268,45.7,339,4269,3389,4211,1334,528
28313,The Beast Attached to Lily Fragrance,chinese,4,93,1.1,4180,2000,2000,1660,3752,2241
28315,"Man, You’re My Man",chinese,3.3,21,2.1,7801,2000,2000,495,7522,9557
28318,"Princess, Spare My Life",chinese,4.3,68,33.3,3582,2000,5639,1310,4433,4736
28323,The Reconciliation,chinese,4.3,35,57.9,7040,2000,4705,521,7362,4667
28329,The Perfect Relationship,chinese,4,34,42.5,6152,2000,6928,1014,5182,5329
28333,Tomb Raider King,korean,3.1,122,0.9,1138,2000,6928,2108,3019,2090
28335,Super Doctor,chinese,3.4,12,53.5,9147,3563,2000,181,10396,10280
28337,Undying Body,chinese,3.6,72,18.6,4807,4580,6928,1306,4442,4109
28338,The Demon’s Menu,chinese,3.9,14,46.6,10103,2000,2000,168,10544,10105
28342,I Am A Prodigy,chinese,2.5,54,237.3,5048,2000,2000,284,9251,10603
28345,48 Hours a Day,chinese,4,99,33.3,3975,1488,1459,880,5602,7175
28348,Super Detective in the Fictional World,chinese,3.8,59,3512,4949,2000,3964,321,8868,9065
28353,My Exclusive Dream World Adventures,chinese,4.2,35,46.6,6886,4599,2000,322,8864,9941
28360,"Your Majesty, Eunuch Lin Is Pregnant",chinese,3,25,41.3,7237,2000,2000,385,8322,6769
28361,"Magic Brush, Wonderful Dreams",chinese,3.8,9,39.9,8786,2000,2000,218,9970,9745
28366,My Wife Poke Me,chinese,2.7,6,138.8,9954,2000,2000,220,9947,7071
28367,Demon Lord,chinese,4,12,46,7631,2000,2000,209,10068,9070
28371,Thinking of Deer Fei Fei,chinese,4.5,198,21.1,3060,4005,771,2545,2502,1979
28375,How Many Tomorrows There Are,chinese,4.1,156,0.9,2723,1005,2724,2850,2212,3236
28376,I Work Hard Every Day To Make My Husband Bankrupt,chinese,3.9,177,42.5,1174,3216,4246,4187,1346,2340
28379,I Turned Into a Little White Face After I Returned From the Apocalypse,chinese,4.1,50,39.1,3867,3119,5067,1833,3419,5039
28382,Guardian of The Sun,korean,3.6,61,11.7,5991,3641,2290,1056,5060,6275
28394,"A Boy Raised by Gods, Will Be the Strongest",japanese,3.2,52,46.2,5049,6465,3615,1249,4575,9251
28398,I’m Using the Interstellar Live Broadcast to Raise Cubs,chinese,4,265,34,1092,2449,2818,4319,1285,1335
28412,The Delicate Prince and His Shrewd Peasant Consort,chinese,3.8,33,37.2,4887,6587,3762,922,5466,6866
28418,Strategy to Capture Men,chinese,4.5,93,6.1,3334,2628,2551,1695,3688,2557
28421,Masquerade in Bridal Attire and Marry the Prince,chinese,3.5,38,45.1,6291,4620,2000,862,5669,5223
28427,Just Let Me Die,chinese,3.8,9,692,11107,2000,3964,122,11117,9065
28433,Baby Tyrant,korean,3.8,116,19.7,2235,3594,4130,5476,896,1134
28436,The Male Lead’s Wife in the ’80s,chinese,3.6,51,39.7,3062,4716,3057,1628,3812,2459
28438,The Villain’s Contract Lover,chinese,3.8,210,24.1,715,4106,1107,4440,1234,299
28440,"Dakara, Anata o Koko de Koroshimasu",japanese,3.6,29,3.7,6709,2000,6928,680,6527,8426
28442,"Lady General: My Word Is Your Command, Tyrant",chinese,3.9,28,39.4,7121,6496,3762,517,7388,7992
28450,Distressed Young Woman Transmigrates: Wangfei Who Defies the Imperial Edict,chinese,2.5,11,40.4,8741,2000,2000,299,9094,7738
28464,The Blackened Male God Always Wants To Set A Routine For Me,chinese,4.2,126,31.3,1333,858,1325,3261,1872,1012
28465,Fake Demon Lord,chinese,4.4,49,18.9,4734,1114,2290,1814,3455,6282
28467,Transmigration of Mian [Reluctantly] Becomes His Man [Wife],chinese,4.4,290,19.9,1058,370,981,4790,1103,591
28472,From The Front-line Base With Love,japanese,3.7,40,15.9,5608,2000,3157,971,5311,7161
28479,I Am Not Your Milkshake,chinese,2.3,12,44.4,9544,2000,2000,204,10122,10105
28488,The Dull Princess and the Black Cat’s Amicable Engagement Annulment,japanese,3.8,17,76.7,7235,6495,2000,723,6292,9062
28490,Rebuilding Base is Under Construction,chinese,4.1,18,137.8,7730,2000,2000,447,7860,10600
28501,"I’m Sick and Tired of My Childhood Friend’s, Now Girlfriend’s, Constant Abuse so I Broke up With Her",japanese,3.8,111,34.8,2421,3613,2430,2044,3103,3793
28504,The Icy Hero is Yearning for Love,japanese,4.5,319,45.2,1990,2159,2522,5365,925,939
28508,Splitting the Immortal,chinese,4.2,55,19.7,4347,2670,4246,1796,3487,3656
28510,"Farmer Lady of Fortune, Imperial Concubine, Don’t Be Too Sweet",chinese,3.9,69,3.5,1521,6054,2125,2619,2430,2526
28512,The Villain Daughter Enjoys Her Seventh Life as a Free-Spirited Bride (Hostage) in a Former Enemy Country,japanese,4.1,210,10,530,1667,1095,8950,310,1034
28515,The Lady’s Butler,korean,3.7,51,172.3,6226,2000,2000,1406,4240,5445
28517,My Younger Master,chinese,3,4,235.7,10220,2000,2000,138,10903,6595
28519,"Recently, My Sister is Unusual",japanese,3.3,10,0.7,10743,6518,2000,288,9210,7274
28521,Supreme Rebirth,chinese,3,5,172.3,10156,2000,2000,114,11225,10105
28524,I Tamed the Male Lead’s Father,korean,4.2,79,21,3393,4727,3762,4347,1266,6750
28528,"Inkya no Boku ni Batsu Game ni Kokuhaku Shitekita Hazu no Gyaru ga, Doumitemo Boku ni Betahore Desu",japanese,4.1,67,9.7,4625,1590,1716,1197,4700,2338
28531,The Roommates Were Ecstatic to See Their Roommate in a Dress,chinese,4.2,66,0.7,5754,2000,2000,964,5337,5180
28538,Congratulations on Your Successful Escape,chinese,4.2,67,18.1,2855,3325,1491,2838,2222,2291
28539,The New Gate (WN),japanese,3.2,5,162.8,10436,2000,2000,292,9172,12400
